Year,Player,Team,Position,GP,TOI,Goals,Total_Assists,First_Assists,Second_Assists,Total_Points,Shots,SHPer,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,Faceoffs_Won,Faceoffs_Lost,Faceoffs_Per
2015,Marc-Andre Cliche,COL,C,74,784.85,2,5,4,1,7,68,2.94,101,78,33,11,5,3,17,7,6,1,0,8,16,31,27,36,28,377,358,51.29
2015,Mike Weber,BUF,D,64,1199.5,1,6,1,5,7,41,2.44,113,66,23,3,2,6,68,28,24,4,0,12,40,10,172,56,167,0,0,-
2015,Brian Strait,NYI,D,52,955.25,2,5,0,5,7,59,3.39,112,79,30,8,3,5,32,15,15,0,0,5,24,14,124,104,85,0,1,0
2015,Mark Barberio,T.B,D,52,872.7,1,6,2,4,7,53,1.89,120,78,24,5,4,5,16,8,8,0,0,5,20,13,35,66,46,0,0,-
2015,Tim Erixon,"CBJ, CHI, TOR",D,42,639.1333333,2,5,1,4,7,36,5.56,89,52,17,1,0,3,14,7,7,0,0,2,10,8,34,58,32,0,0,-
2015,Craig Cunningham,"ARI, BOS",L,51,534.1333333,3,4,3,1,7,54,5.56,76,66,40,24,6,5,4,2,2,0,0,4,2,8,107,52,31,69,67,50.74
2015,Tye McGinn,"ARI, S.J",L,51,515.2333333,2,5,3,2,7,60,3.33,119,83,63,29,6,14,21,9,8,1,0,12,11,8,71,74,17,1,1,50
2015,Kevan Miller,BOS,D,41,739.3666667,2,5,1,4,7,37,5.41,87,56,17,2,3,5,15,6,5,1,0,3,15,7,87,128,60,0,0,-
2015,Nikita Nesterov,T.B,D,27,433.4666667,2,5,1,4,7,44,4.55,83,62,20,8,1,3,16,8,8,0,0,4,14,16,42,25,17,0,0,-
2015,Nick Shore,L.A,C,34,376.95,1,6,2,4,7,33,3.03,57,49,19,9,0,3,10,5,5,0,0,7,2,8,51,44,14,127,109,53.81
2015,Connor Murphy,ARI,D,73,1226.45,4,3,1,2,7,72,5.56,160,109,29,4,3,8,42,18,16,2,0,13,25,8,137,157,142,0,1,0
2015,Derrick Pouliot,PIT,D,34,596.5833333,2,5,3,2,7,56,3.57,114,76,34,8,4,5,4,2,2,0,0,3,18,11,15,39,20,0,0,-
2015,Damien Brunner,N.J,R,17,257.5,2,5,3,2,7,29,6.9,59,43,30,8,0,4,8,4,4,0,0,1,6,6,7,8,3,2,2,50
2015,Anthony Duclair,NYR,L,18,218.8166667,1,6,4,2,7,18,5.56,36,26,28,17,1,1,4,2,2,0,0,4,6,5,6,32,5,0,0,-
2015,Josh Gorges,BUF,D,46,1028.716667,0,6,1,5,6,28,0,63,48,10,4,0,0,16,8,8,0,0,5,20,7,75,79,148,0,0,-
2015,B.J. Crombeen,ARI,R,58,469.4833333,3,3,1,2,6,43,6.98,83,59,49,17,2,4,77,25,16,9,0,19,5,7,68,63,12,1,0,100
2015,Tanner Glass,NYR,L,66,676.0333333,1,5,3,2,6,53,1.89,88,69,37,20,5,3,98,26,14,10,2,18,15,8,212,115,32,7,14,33.33
2015,Jamie McGinn,COL,L,19,280.6333333,4,2,0,2,6,36,11.11,51,49,33,19,2,0,6,3,3,0,0,2,7,9,29,17,7,1,0,100
2015,Korbinian Holzer,TOR,D,34,581.5,0,6,5,1,6,32,0,50,42,6,2,2,7,25,7,5,1,1,4,26,11,117,66,53,0,0,-
2015,Andrew Ebbett,PIT,C,24,216.1333333,1,5,3,2,6,21,4.76,37,26,18,8,2,2,2,1,1,0,0,0,3,6,10,38,12,39,47,45.35
2015,Paul Postma,WPG,D,42,593.4166667,2,4,1,3,6,40,5,109,60,30,4,2,4,16,8,8,0,0,3,22,17,17,58,28,0,0,-
2015,Zach Boychuk,CAR,L,31,329.4,3,3,2,1,6,35,8.57,57,45,27,12,1,3,4,2,2,0,0,1,3,9,40,45,9,0,0,-
2015,Michal Jordan,CAR,D,38,605.9166667,2,4,0,4,6,44,4.55,85,52,20,7,0,4,4,2,2,0,0,9,19,8,35,81,61,0,0,-
2015,Zac Rinaldo,PHI,C,58,517.25,1,5,4,1,6,45,2.22,76,63,28,9,3,1,102,30,21,6,3,22,9,9,216,91,20,1,2,33.33
2015,Jeremy Morin,"CBJ, CHI",L,43,438.5666667,2,4,4,0,6,73,2.74,109,88,53,27,5,5,28,11,9,2,0,12,9,14,45,42,5,2,3,40
2015,Michael Latta,WSH,C,53,444.05,0,6,4,2,6,24,0,51,35,22,8,1,3,68,14,4,8,2,13,11,15,91,65,14,160,175,47.76
