,Player,FantasyTeam,OverallDraftNumber,DraftRound,Fantasy Points,Modeled_Fantasy_Points,Points Differential
199,Zach Hyman,Shat Deuces,234,20,146.3,163.76433527807225,17.46433527807224
200,Mitchell Marner,Davinci's McDavid,57,5,241.05,224.08869534908288,16.96130465091713
201,Auston Matthews,Takoma Park Holtbeasts,18,2,257.70000000000005,201.73088831156147,55.96911168843857
202,Nazem Kadri,Gritty Gritty Bang Bang,94,8,168.14999999999998,157.6927627607743,10.457237239225691
203,Jake Muzzin,Beet Beet Gourde Gourde,157,14,200.55,174.40341154321163,26.14658845678838
204,Morgan Rielly,Datsyuk's Dekes,131,11,242.9,224.91645344990818,17.98354655009183
205,Jake Gardiner,Takoma Park Holtbeasts,150,13,108.35,125.02243598776666,16.67243598776666
206,Patrick Marleau,Team Game Blouses,191,16,139.65,150.9250282042711,11.27502820427108
207,William Nylander,Takoma Park Holtbeasts,67,6,95.45,93.0123703065203,2.437629693479707
208,Elias Pettersson,London Bacon Blades,121,11,214.20000000000002,170.13812296179617,44.061877038203846
209,Bo Horvat,Gritty Gritty Bang Bang,166,14,259.70000000000005,221.18348060675842,38.51651939324162
210,Alexander Edler,Paul North Kariya,152,13,195.1,137.84879974369403,57.251200256305964
211,Brock Boeser,Takoma Park Holtbeasts,91,8,156.35000000000002,166.9287334092095,10.578733409209491
212,Jonathan Marchessault,Beet Beet Gourde Gourde,37,4,196.35000000000002,192.76692755062837,3.583072449371656
213,William Karlsson,Amesville Aliens,53,5,222.29999999999998,210.22250552293798,12.077494477062004
214,Paul Stastny,Shat Deuces,210,18,134.2,114.42249688121841,19.77750311878158
215,Colin Miller,London Bacon Blades,168,14,130.15,121.30070954882102,8.849290451178987
216,Nate Schmidt,Datsyuk's Dekes,251,21,115.35000000000001,126.36764298340468,11.01764298340467
217,Brayden McNabb,Shat Deuces,199,17,157.20000000000002,136.38871443080666,20.81128556919336
218,Shea Theodore,Davinci's McDavid,208,18,144.6,153.68753794457638,9.087537944576383
219,Max Pacioretty,London Bacon Blades,48,4,155.29999999999998,144.20156402895424,11.098435971045745
220,Erik Haula,London Bacon Blades,145,13,28.3,31.001903857428925,2.701903857428924
221,Mark Stone,Tronhelm Black Bears,172,15,240.85000000000005,216.98090592678372,23.86909407321633
222,Alex Tuch,Paul North Kariya,128,11,175.85,165.85582758612094,9.994172413879056
223,Reilly Smith,Gritty Gritty Bang Bang,75,7,166.14999999999998,160.91959056759967,5.230409432400307
224,Mark Scheifele,Paul North Kariya,56,5,274.95,227.45140329122685,47.498596708773135
225,Bryan Little,Paul North Kariya,224,19,152.59999999999997,139.9034659694925,12.696534030507479
226,Mathieu Perreault,Davinci's McDavid,273,23,134.65,115.65992719856219,18.99007280143782
227,Jacob Trouba,Paul North Kariya,200,17,226.8,189.1246694276173,37.675330572382705
228,Tyler Myers,Datsyuk's Dekes,158,14,153.7,151.78935785063692,1.9106421493630705
229,Josh Morrissey,Amesville Aliens,245,21,137.7,115.25689005026678,22.443109949733213
230,Dustin Byfuglien,Every Day I'm Byfuglien,58,5,114.75,102.28981594723138,12.460184052768625
231,Nikolaj Ehlers,Paul North Kariya,65,6,116.1,115.19571671978828,0.9042832802117147
232,Kyle Connor,Takoma Park Holtbeasts,163,14,182.1,189.15897085712726,7.058970857127264
233,Patrik Laine,Davinci's McDavid,21,2,191.85,168.24672981126238,23.60327018873761
234,Kevin Hayes,Gritty Gritty Bang Bang,214,18,179.35,165.91217296050044,13.437827039499552
235,Blake Wheeler,Every Day I'm Byfuglien,10,1,246.7,209.47467311806847,37.22532688193152
236,Nicklas Backstrom,Paul North Kariya,41,4,233.85,210.8203932015797,23.029606798420303
237,Evgeny Kuznetsov,Davinci's McDavid,33,3,212.29999999999998,204.63326973768648,7.666730262313507
238,Matt Niskanen,Datsyuk's Dekes,227,19,172.15,157.16801876335623,14.981981236643776
239,Dmitry Orlov,Amesville Aliens,173,15,143.64999999999998,146.13871327550706,2.488713275507081
240,John Carlson,Shat Deuces,55,5,259.85,223.91784041053802,35.932159589462
241,Brooks Orpik,Every Day I'm Byfuglien,274,23,92.2,77.15615112194823,15.043848878051776
242,Tom Wilson,London Bacon Blades,216,18,185.8,154.8802146948847,30.91978530511531
243,T.J. Oshie,Beet Beet Gourde Gourde,180,15,199.20000000000002,175.27398386038612,23.926016139613893
244,Alex Ovechkin,Gritty Gritty Bang Bang,3,1,311.8,251.20816965385077,60.59183034614924
